,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.480157,0.0,0.000106
1,CPI,0,0,10000,True,62.0,13.0,0.359958,0.283153,3.1e-05
2,CPI,0,0,10000,True,13.0,62.0,0.479906,0.0,5.9e-05
3,CPI,0,0,10000,True,62.0,13.0,0.359987,0.272535,3.1e-05
4,CPI,0,0,10000,True,13.0,62.0,0.479948,0.0,5.6e-05
5,CPI,0,0,10000,True,62.0,13.0,0.361999,0.265631,2.8e-05
6,CPI,0,0,10000,True,13.0,62.0,0.480784,0.0,7.8e-05
7,CPI,0,0,10000,True,62.0,13.0,0.362094,0.280545,3.2e-05
8,CPI,0,0,10000,True,13.0,62.0,0.481202,0.0,5.8e-05
9,CPI,0,0,10000,True,62.0,13.0,0.362047,0.289896,2.8e-05
10,CPI,0,0,10000,True,13.0,62.0,0.479995,0.0,7.6e-05
11,CPI,0,0,10000,True,62.0,13.0,0.361642,0.2898,3.2e-05
12,CPI,0,0,10000,True,13.0,62.0,0.4803,0.0,5.8e-05
13,CPI,0,0,10000,True,62.0,13.0,0.36105,0.284067,3e-05
14,CPI,0,0,10000,True,13.0,62.0,0.479967,0.0,7.7e-05
15,CPI,0,0,10000,True,62.0,13.0,0.361647,0.2828,3.8e-05
16,CPI,0,0,10000,True,13.0,62.0,0.48031,0.0,7.9e-05
17,CPI,0,0,10000,True,62.0,13.0,0.362952,0.269705,3.3e-05
18,CPI,0,0,10000,True,13.0,62.0,0.481044,0.0,9.1e-05
19,CPI,0,0,10000,True,62.0,13.0,0.360961,0.273006,3.2e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.252694,0.0,0.003865
21,IBLT,60,60,10000,True,5025.0,917.0,0.410568,0.073511,1.6e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.252179,0.0,0.003863
23,IBLT,60,60,10000,True,5025.0,917.0,0.349379,0.112133,1.8e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.252173,0.0,0.003849
25,IBLT,60,60,10000,True,5025.0,917.0,0.339555,0.065872,1.6e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.252648,0.0,0.00383
27,IBLT,60,60,10000,True,5025.0,917.0,0.339516,0.060511,1.5e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.252676,0.0,0.003844
29,IBLT,60,60,10000,True,5025.0,917.0,0.339538,0.07349,1.5e-05
30,IBLT,60,60,10000,True,917.0,5025.0,0.25166,0.0,0.003849
31,IBLT,60,60,10000,True,5025.0,917.0,0.339321,0.083707,1.4e-05
32,IBLT,60,60,10000,True,917.0,5025.0,0.252562,0.0,0.003838
33,IBLT,60,60,10000,True,5025.0,917.0,0.339518,0.062733,1.5e-05
34,IBLT,60,60,10000,True,917.0,5025.0,0.252518,0.0,0.004252
35,IBLT,60,60,10000,True,5025.0,917.0,0.339408,0.094683,1.5e-05
36,IBLT,60,60,10000,True,917.0,5025.0,0.252851,0.0,0.003865
37,IBLT,60,60,10000,True,5025.0,917.0,0.339245,0.065424,1.4e-05
38,IBLT,60,60,10000,True,917.0,5025.0,0.252336,0.0,0.003879
39,IBLT,60,60,10000,True,5025.0,917.0,0.342698,0.086054,1.5e-05
40,CPI,1000,1000,10000,True,8009.0,8062.0,0.466867,0.0,17.6234
41,CPI,1000,1000,10000,True,8062.0,8009.0,0.393915,17.8747,0.003402
42,CPI,1000,1000,10000,True,8009.0,8062.0,0.46776,0.0,18.8888
43,CPI,1000,1000,10000,True,8062.0,8009.0,0.744801,19.1651,0.003439
44,CPI,1000,1000,10000,True,8009.0,8062.0,0.468801,0.0,17.9132
45,CPI,1000,1000,10000,True,8062.0,8009.0,0.744623,18.1361,0.003426
46,CPI,1000,1000,10000,True,8009.0,8062.0,0.466522,0.0,18.156
47,CPI,1000,1000,10000,True,8062.0,8009.0,0.407903,18.3702,0.003411
48,CPI,1000,1000,10000,True,8009.0,8062.0,0.467769,0.0,18.1072
