,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,90,90,10000,True,729.0,782.0,0.437977,0.0,0.070049
1,CPI,90,90,10000,True,782.0,729.0,0.339447,0.34554,0.000368
2,CPI,90,90,10000,True,729.0,782.0,0.491613,0.0,0.069071
3,CPI,90,90,10000,True,782.0,729.0,0.380692,0.359112,0.000343
4,CPI,90,90,10000,True,729.0,782.0,0.494805,0.0,0.068173
5,CPI,90,90,10000,True,782.0,729.0,0.380711,0.336275,0.000355
6,CPI,90,90,10000,True,729.0,782.0,0.491792,0.0,0.069235
7,CPI,90,90,10000,True,782.0,729.0,0.381149,0.351198,0.000348
8,CPI,90,90,10000,True,729.0,782.0,0.498686,0.0,0.066202
9,CPI,90,90,10000,True,782.0,729.0,0.381457,0.336608,0.000357
10,CPI,90,90,10000,True,729.0,782.0,0.501341,0.0,0.068652
11,CPI,90,90,10000,True,782.0,729.0,0.382641,0.375386,0.000353
12,CPI,90,90,10000,True,729.0,782.0,0.500665,0.0,0.069826
13,CPI,90,90,10000,True,782.0,729.0,0.382579,0.378123,0.000351
14,CPI,90,90,10000,True,729.0,782.0,0.490597,0.0,0.06923
15,CPI,90,90,10000,True,782.0,729.0,0.384092,0.374346,0.000351
16,CPI,90,90,10000,True,729.0,782.0,0.490712,0.0,0.069148
17,CPI,90,90,10000,True,782.0,729.0,0.382411,0.343491,0.000343
18,CPI,90,90,10000,True,729.0,782.0,0.493765,0.0,0.069685
19,CPI,90,90,10000,True,782.0,729.0,0.380897,0.355149,0.000349
20,CPI,80,80,10000,True,649.0,702.0,0.510589,0.0,0.057571
21,CPI,80,80,10000,True,702.0,649.0,0.381473,0.339004,0.000307
22,CPI,80,80,10000,True,649.0,702.0,0.489633,0.0,0.056897
23,CPI,80,80,10000,True,702.0,649.0,0.385568,0.3474,0.000308
24,CPI,80,80,10000,True,649.0,702.0,0.493594,0.0,0.056472
25,CPI,80,80,10000,True,702.0,649.0,0.377607,0.374926,0.000327
26,CPI,80,80,10000,True,649.0,702.0,0.499737,0.0,0.056183
27,CPI,80,80,10000,True,702.0,649.0,0.377836,0.343096,0.00031
28,CPI,80,80,10000,True,649.0,702.0,0.493891,0.0,0.060348
29,CPI,80,80,10000,True,702.0,649.0,0.377132,0.346979,0.000319
30,CPI,80,80,10000,True,649.0,702.0,0.493351,0.0,0.059058
31,CPI,80,80,10000,True,702.0,649.0,0.377449,0.345611,0.000317
32,CPI,80,80,10000,True,649.0,702.0,0.493251,0.0,0.05594
33,CPI,80,80,10000,True,702.0,649.0,0.377536,0.353525,0.000317
34,CPI,80,80,10000,True,649.0,702.0,0.493489,0.0,0.058454
35,CPI,80,80,10000,True,702.0,649.0,0.377536,0.37396,0.000325
36,CPI,80,80,10000,True,649.0,702.0,0.489302,0.0,0.057836
37,CPI,80,80,10000,True,702.0,649.0,0.378495,0.367357,0.000318
38,CPI,80,80,10000,True,649.0,702.0,0.492454,0.0,0.058786
39,CPI,80,80,10000,True,702.0,649.0,0.415102,0.302392,0.000308
40,CPI,70,70,10000,True,569.0,622.0,0.492408,0.0,0.046699
41,CPI,70,70,10000,True,622.0,569.0,0.376655,0.319856,0.000293
42,CPI,70,70,10000,True,569.0,622.0,0.496539,0.0,0.048098
43,CPI,70,70,10000,True,622.0,569.0,0.377572,0.359416,0.000277
44,CPI,70,70,10000,True,569.0,622.0,0.496595,0.0,0.047408
45,CPI,70,70,10000,True,622.0,569.0,0.378327,0.338884,0.000288
46,CPI,70,70,10000,True,569.0,622.0,0.497462,0.0,0.049597
47,CPI,70,70,10000,True,622.0,569.0,0.377499,0.364177,0.000292
48,CPI,70,70,10000,True,569.0,622.0,0.497456,0.0,0.047255
49,CPI,70,70,10000,True,622.0,569.0,0.377247,0.348732,0.000276
50,CPI,70,70,10000,True,569.0,622.0,0.490507,0.0,0.046805
51,CPI,70,70,10000,True,622.0,569.0,0.378045,0.32686,0.000293
52,CPI,70,70,10000,True,569.0,622.0,0.492332,0.0,0.047545
