,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.479615,0.0,0.000119
1,CPI,0,0,10000,True,62.0,13.0,0.360313,0.26831,2.5e-05
2,CPI,0,0,10000,True,13.0,62.0,0.480084,0.0,6.8e-05
3,CPI,0,0,10000,True,62.0,13.0,0.360025,0.282039,2.7e-05
4,CPI,0,0,10000,True,13.0,62.0,0.480063,0.0,6.6e-05
5,CPI,0,0,10000,True,62.0,13.0,0.360027,0.282188,3.7e-05
6,CPI,0,0,10000,True,13.0,62.0,0.47985,0.0,7.8e-05
7,CPI,0,0,10000,True,62.0,13.0,0.360113,0.290333,3.5e-05
8,CPI,0,0,10000,True,13.0,62.0,0.480028,0.0,0.00012
9,CPI,0,0,10000,True,62.0,13.0,0.360901,0.288416,2.5e-05
10,CPI,0,0,10000,True,13.0,62.0,0.480284,0.0,7.4e-05
11,CPI,0,0,10000,True,62.0,13.0,0.360873,0.268266,2.8e-05
12,CPI,0,0,10000,True,13.0,62.0,0.480088,0.0,6.6e-05
13,CPI,0,0,10000,True,62.0,13.0,0.359886,0.266349,2.6e-05
14,CPI,0,0,10000,True,13.0,62.0,0.479833,0.0,7.5e-05
15,CPI,0,0,10000,True,62.0,13.0,0.361882,0.270139,2.6e-05
16,CPI,0,0,10000,True,13.0,62.0,0.479772,0.0,7.5e-05
17,CPI,0,0,10000,True,62.0,13.0,0.360013,0.271698,2.8e-05
18,CPI,0,0,10000,True,13.0,62.0,0.479871,0.0,7.6e-05
19,CPI,0,0,10000,True,62.0,13.0,0.361047,0.296977,2.9e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.251539,0.0,0.003863
21,IBLT,60,60,10000,True,5025.0,917.0,0.40925,0.091862,1.4e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.251744,0.0,0.003857
23,IBLT,60,60,10000,True,5025.0,917.0,0.338176,0.070046,1.6e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.251553,0.0,0.003837
25,IBLT,60,60,10000,True,5025.0,917.0,0.339248,0.069867,1.3e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.251729,0.0,0.003853
27,IBLT,60,60,10000,True,5025.0,917.0,0.338151,0.071196,1.5e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.251686,0.0,0.003853
29,IBLT,60,60,10000,True,5025.0,917.0,0.339413,0.092856,1.3e-05
30,IBLT,60,60,10000,True,917.0,5025.0,0.252786,0.0,0.003857
31,IBLT,60,60,10000,True,5025.0,917.0,0.339163,0.061778,1.3e-05
32,IBLT,60,60,10000,True,917.0,5025.0,0.251771,0.0,0.003854
33,IBLT,60,60,10000,True,5025.0,917.0,0.339332,0.080686,1.4e-05
34,IBLT,60,60,10000,True,917.0,5025.0,0.251452,0.0,0.003848
35,IBLT,60,60,10000,True,5025.0,917.0,0.339142,0.083296,1.4e-05
36,IBLT,60,60,10000,True,917.0,5025.0,0.251709,0.0,0.004086
37,IBLT,60,60,10000,True,5025.0,917.0,0.338399,0.069407,1.6e-05
38,IBLT,60,60,10000,True,917.0,5025.0,0.251644,0.0,0.004087
39,IBLT,60,60,10000,True,5025.0,917.0,0.338441,0.078528,1.5e-05
40,CPI,1000,1000,10000,True,8009.0,8062.0,0.464906,0.0,17.3373
41,CPI,1000,1000,10000,True,8062.0,8009.0,0.402996,17.5957,0.003374
42,CPI,1000,1000,10000,True,8009.0,8062.0,0.464728,0.0,17.8462
43,CPI,1000,1000,10000,True,8062.0,8009.0,0.402589,18.0923,0.003411
