,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.481067,0.0,0.000143
1,CPI,0,0,10000,True,62.0,13.0,0.359946,0.283966,2.8e-05
2,CPI,0,0,10000,True,13.0,62.0,0.479165,0.0,0.000117
3,CPI,0,0,10000,True,62.0,13.0,0.359058,0.951635,2.8e-05
4,CPI,0,0,10000,True,13.0,62.0,0.480178,0.0,8.2e-05
5,CPI,0,0,10000,True,62.0,13.0,0.360096,0.257772,2.7e-05
6,CPI,0,0,10000,True,13.0,62.0,0.479972,0.0,7.1e-05
7,CPI,0,0,10000,True,62.0,13.0,0.359858,0.257817,2.5e-05
8,CPI,0,0,10000,True,13.0,62.0,0.479995,0.0,7.1e-05
9,CPI,0,0,10000,True,62.0,13.0,0.362042,0.294069,2.7e-05
10,CPI,0,0,10000,True,13.0,62.0,0.556975,0.0,8.9e-05
11,CPI,0,0,10000,True,62.0,13.0,0.441128,0.265753,2.8e-05
12,CPI,0,0,10000,True,13.0,62.0,0.48105,0.0,9.4e-05
13,CPI,0,0,10000,True,62.0,13.0,0.360758,0.273832,2.8e-05
14,CPI,0,0,10000,True,13.0,62.0,0.542011,0.0,6.5e-05
15,CPI,0,0,10000,True,62.0,13.0,0.400948,0.317592,2.4e-05
16,CPI,0,0,10000,True,13.0,62.0,0.861155,0.0,6.6e-05
17,CPI,0,0,10000,True,62.0,13.0,0.721091,0.30457,3.2e-05
18,CPI,0,0,10000,True,13.0,62.0,0.900998,0.0,6.5e-05
19,CPI,0,0,10000,True,62.0,13.0,0.760982,0.30814,3e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.251873,0.0,0.003857
21,IBLT,60,60,10000,True,5025.0,917.0,0.410218,0.06049,1.9e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.251363,0.0,0.003861
23,IBLT,60,60,10000,True,5025.0,917.0,0.338993,0.088188,1.5e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.251468,0.0,0.003842
25,IBLT,60,60,10000,True,5025.0,917.0,0.339129,0.065731,1.3e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.252512,0.0,0.00386
27,IBLT,60,60,10000,True,5025.0,917.0,0.341677,0.063401,1.4e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.25235,0.0,0.003848
29,IBLT,60,60,10000,True,5025.0,917.0,0.338432,0.057969,1.7e-05
30,IBLT,60,60,10000,True,917.0,5025.0,0.574371,0.0,0.003874
31,IBLT,60,60,10000,True,5025.0,917.0,0.658584,0.081637,1.6e-05
32,IBLT,60,60,10000,True,917.0,5025.0,0.2518,0.0,0.00388
33,IBLT,60,60,10000,True,5025.0,917.0,0.339366,0.0637,1.5e-05
34,IBLT,60,60,10000,True,917.0,5025.0,0.996786,0.0,0.003844
35,IBLT,60,60,10000,True,5025.0,917.0,1.1414,128.605,1.9e-05
36,IBLT,60,60,10000,True,917.0,5025.0,1.26615,0.0,0.003871
37,IBLT,60,60,10000,True,5025.0,917.0,1.38335,0.065889,2e-05
38,IBLT,60,60,10000,True,917.0,5025.0,1.346,0.0,0.003864
39,IBLT,60,60,10000,True,5025.0,917.0,1.46232,0.0586,1.9e-05
40,CPI,1000,1000,10000,True,8009.0,8062.0,1.04879,0.0,17.3068
41,CPI,1000,1000,10000,True,8062.0,8009.0,65.8513,23.8367,0.003402
42,CPI,1000,1000,10000,True,8009.0,8062.0,0.501757,0.0,17.669
43,CPI,1000,1000,10000,True,8062.0,8009.0,0.409653,17.9621,0.003414
44,CPI,1000,1000,10000,True,8008.0,8062.0,0.650628,0.0,17.5716
45,CPI,1000,1000,10000,True,8062.0,8008.0,3.10705,18.7955,0.003405
46,CPI,1000,1000,10000,True,8009.0,8062.0,1.80511,0.0,17.3165
47,CPI,1000,1000,10000,True,8062.0,8009.0,0.532784,18.8403,0.003442
48,CPI,1000,1000,10000,True,8009.0,8062.0,0.908674,0.0,17.4907
49,CPI,1000,1000,10000,True,8062.0,8009.0,0.547111,18.0789,0.003442
50,CPI,1000,1000,10000,True,8009.0,8062.0,0.528557,0.0,17.3293
51,CPI,1000,1000,10000,True,8062.0,8009.0,0.472773,17.5973,0.00354
52,CPI,1000,1000,10000,True,8009.0,8062.0,0.516905,0.0,17.5735
53,CPI,1000,1000,10000,True,8062.0,8009.0,0.446525,17.854,0.003745
54,CPI,1000,1000,10000,True,8009.0,8062.0,1.93151,0.0,17.4384
55,CPI,1000,1000,10000,True,8062.0,8009.0,0.513684,19.0268,0.003409
56,CPI,1000,1000,10000,True,8009.0,8062.0,0.517778,0.0,17.4402
57,CPI,1000,1000,10000,True,8062.0,8009.0,0.489283,17.7466,0.003467
58,CPI,1000,1000,10000,True,8009.0,8062.0,1.45186,0.0,17.5408
59,CPI,1000,1000,10000,True,8062.0,8009.0,1.1089,18.6241,0.003412
60,CPI,100,100,10000,True,809.0,862.0,0.492846,0.0,0.079914
61,CPI,100,100,10000,True,862.0,809.0,0.376825,0.36156,0.000376
62,CPI,100,100,10000,True,809.0,862.0,0.492911,0.0,0.080015
63,CPI,100,100,10000,True,862.0,809.0,0.378208,0.356009,0.000375
64,CPI,100,100,10000,True,809.0,862.0,0.492776,0.0,0.083301
65,CPI,100,100,10000,True,862.0,809.0,0.370667,0.34186,0.00037
66,CPI,100,100,10000,True,809.0,862.0,0.530676,0.0,0.080639
67,CPI,100,100,10000,True,862.0,809.0,0.399582,0.377552,0.000368
68,CPI,100,100,10000,True,809.0,862.0,0.492787,0.0,0.080758
69,CPI,100,100,10000,True,862.0,809.0,0.371617,0.374754,0.000367
70,CPI,100,100,10000,True,809.0,862.0,0.49075,0.0,0.081326
71,CPI,100,100,10000,True,862.0,809.0,0.379514,0.373264,0.000369
72,CPI,100,100,10000,True,809.0,862.0,0.492931,0.0,0.082892
73,CPI,100,100,10000,True,862.0,809.0,0.372606,0.349463,0.000377
74,CPI,100,100,10000,True,808.0,862.0,0.492775,0.0,0.082682
75,CPI,100,100,10000,True,862.0,808.0,0.429704,0.348687,0.000378
76,CPI,100,100,10000,True,809.0,862.0,0.49296,0.0,0.082023
77,CPI,100,100,10000,True,862.0,809.0,0.379571,0.369329,0.000378
78,CPI,100,100,10000,True,809.0,862.0,1.05072,0.0,0.083024
79,CPI,100,100,10000,True,862.0,809.0,0.93551,0.367586,0.000392
80,IBLT,200,200,10000,True,3016.0,16541.0,0.26307,0.0,0.011796
81,IBLT,200,200,10000,True,16541.0,3016.0,0.441982,0.082612,3.2e-05
