,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.479603,0.140224,0.000108
1,CPI,0,0,10000,True,62.0,13.0,0.359952,0.287886,2.9e-05
2,CPI,0,0,10000,True,13.0,62.0,0.48005,0.151271,5.8e-05
3,CPI,0,0,10000,True,62.0,13.0,0.359677,0.290807,3e-05
4,CPI,0,0,10000,True,13.0,62.0,0.479957,0.107742,5.9e-05
5,CPI,0,0,10000,True,62.0,13.0,0.360194,0.257986,4.5e-05
6,CPI,0,0,10000,True,13.0,62.0,0.47993,28.5438,7e-05
7,CPI,0,0,10000,True,62.0,13.0,0.359834,0.290475,3.1e-05
8,CPI,0,0,10000,True,13.0,62.0,0.479782,0.116374,5.7e-05
9,CPI,0,0,10000,True,62.0,13.0,0.360862,0.260553,2.9e-05
10,CPI,0,0,10000,True,13.0,62.0,0.480087,0.108947,5.8e-05
11,CPI,0,0,10000,True,62.0,13.0,0.360817,0.264107,3.4e-05
12,CPI,0,0,10000,True,13.0,62.0,0.47989,0.11273,5.7e-05
13,CPI,0,0,10000,True,62.0,13.0,0.361002,0.260458,2.8e-05
14,CPI,0,0,10000,True,13.0,62.0,0.479922,28.6275,7.1e-05
15,CPI,0,0,10000,True,62.0,13.0,0.360731,0.274185,3.3e-05
16,CPI,0,0,10000,True,13.0,62.0,0.479975,0.101739,5.8e-05
17,CPI,0,0,10000,True,62.0,13.0,0.360563,0.260921,3.6e-05
18,CPI,0,0,10000,True,13.0,62.0,0.479797,28.6184,7.3e-05
19,CPI,0,0,10000,True,62.0,13.0,0.360779,0.261131,3.6e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.251766,30.1286,0.003837
21,IBLT,60,60,10000,True,5025.0,917.0,0.452278,0.097081,1.5e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.251664,0.116659,0.003838
23,IBLT,60,60,10000,True,5025.0,917.0,0.41016,0.072349,1.4e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.251864,28.2649,0.003865
25,IBLT,60,60,10000,True,5025.0,917.0,0.339442,0.070778,1.6e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.251856,28.2997,0.003857
27,IBLT,60,60,10000,True,5025.0,917.0,0.339107,0.061013,1.6e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.251858,28.4153,0.003822
29,IBLT,60,60,10000,True,5025.0,917.0,0.33922,0.065497,1.5e-05
30,IBLT,60,60,10000,True,917.0,5025.0,0.251558,28.2785,0.003856
31,IBLT,60,60,10000,True,5025.0,917.0,0.339475,0.079501,1.5e-05
32,IBLT,60,60,10000,True,917.0,5025.0,0.251403,28.4078,0.003829
33,IBLT,60,60,10000,True,5025.0,917.0,0.339302,0.069091,1.5e-05
34,IBLT,60,60,10000,True,917.0,5025.0,0.251919,0.12608,0.00387
35,IBLT,60,60,10000,True,5025.0,917.0,0.339522,0.071631,1.4e-05
36,IBLT,60,60,10000,True,917.0,5025.0,0.251504,0.109105,0.003823
37,IBLT,60,60,10000,True,5025.0,917.0,0.339334,0.060439,1.3e-05
38,IBLT,60,60,10000,True,917.0,5025.0,0.251634,28.422,0.003848
39,IBLT,60,60,10000,True,5025.0,917.0,0.33948,0.08642,1.7e-05
40,CPI,1000,1000,10000,True,8009.0,8062.0,0.46474,0.153151,17.0929
41,CPI,1000,1000,10000,True,8062.0,8009.0,0.396691,17.3646,0.003378
42,CPI,1000,1000,10000,True,8009.0,8062.0,0.464585,0.141062,17.0943
43,CPI,1000,1000,10000,True,8062.0,8009.0,0.397842,17.3607,0.00338
44,CPI,1000,1000,10000,True,8009.0,8062.0,0.464894,8.51894,17.107
45,CPI,1000,1000,10000,True,8062.0,8009.0,0.396606,17.3605,0.003392
46,CPI,1000,1000,10000,True,8008.0,8062.0,0.464649,8.56383,17.1343
47,CPI,1000,1000,10000,True,8062.0,8008.0,0.396966,17.3712,0.003383
48,CPI,1000,1000,10000,True,8009.0,8062.0,0.465003,8.49588,17.7909
49,CPI,1000,1000,10000,True,8062.0,8009.0,0.396888,18.0352,0.003424
50,CPI,1000,1000,10000,True,8009.0,8062.0,0.465081,0.123743,17.787
51,CPI,1000,1000,10000,True,8062.0,8009.0,0.396761,18.0149,0.003404
52,CPI,1000,1000,10000,True,8009.0,8062.0,0.465083,0.130147,17.9466
53,CPI,1000,1000,10000,True,8062.0,8009.0,0.396943,18.1973,0.003378
54,CPI,1000,1000,10000,True,8009.0,8062.0,0.464826,7.70115,18.6508
55,CPI,1000,1000,10000,True,8062.0,8009.0,0.396576,18.9024,0.003366
56,CPI,1000,1000,10000,True,8009.0,8062.0,0.464814,0.360319,17.7976
57,CPI,1000,1000,10000,True,8062.0,8009.0,0.397089,18.0187,0.003411
58,CPI,1000,1000,10000,True,8009.0,8062.0,0.46484,7.71923,17.1537
59,CPI,1000,1000,10000,True,8062.0,8009.0,0.396689,17.3873,0.003374
60,CPI,100,100,10000,True,809.0,862.0,0.490384,30.1233,0.082596
61,CPI,100,100,10000,True,862.0,809.0,0.378347,0.376787,0.000379
62,CPI,100,100,10000,True,809.0,862.0,0.490541,28.93,0.083128
63,CPI,100,100,10000,True,862.0,809.0,0.378617,0.358105,0.000396
64,CPI,100,100,10000,True,809.0,862.0,0.490982,0.171667,0.080202
65,CPI,100,100,10000,True,862.0,809.0,0.378797,0.363046,0.000382
66,CPI,100,100,10000,True,809.0,862.0,0.490629,28.2185,0.080412
67,CPI,100,100,10000,True,862.0,809.0,0.378812,0.352647,0.000391
68,CPI,100,100,10000,True,809.0,862.0,0.490411,28.2312,0.082299
69,CPI,100,100,10000,True,862.0,809.0,0.378424,0.362766,0.00039
70,CPI,100,100,10000,True,809.0,862.0,0.490482,28.2273,0.080202
71,CPI,100,100,10000,True,862.0,809.0,0.3786,0.35028,0.000393
72,CPI,100,100,10000,True,809.0,862.0,0.490768,28.2249,0.084274
73,CPI,100,100,10000,True,862.0,809.0,0.378724,0.371078,0.000379
74,CPI,100,100,10000,True,809.0,862.0,0.490714,0.145582,0.080422
75,CPI,100,100,10000,True,862.0,809.0,0.378378,0.369214,0.000379
76,CPI,100,100,10000,True,809.0,862.0,0.490373,0.137776,0.079373
77,CPI,100,100,10000,True,862.0,809.0,0.378278,0.370149,0.000378
78,CPI,100,100,10000,True,809.0,862.0,0.490487,28.2521,0.079848
79,CPI,100,100,10000,True,862.0,809.0,0.378596,0.373503,0.000402
80,IBLT,200,200,10000,True,3016.0,16541.0,0.257059,29.276,0.011759
81,IBLT,200,200,10000,True,16541.0,3016.0,0.399784,0.075721,3.6e-05
82,IBLT,200,200,10000,True,3016.0,16541.0,0.257087,28.8395,0.012573
83,IBLT,200,200,10000,True,16541.0,3016.0,0.3547,0.093582,3.3e-05
84,IBLT,200,200,10000,True,3016.0,16541.0,0.257026,0.16719,0.011719
85,IBLT,200,200,10000,True,16541.0,3016.0,0.341725,0.095908,3.6e-05
86,IBLT,200,200,10000,True,3016.0,16541.0,0.256918,0.17344,0.011771
87,IBLT,200,200,10000,True,16541.0,3016.0,0.341673,0.058934,3e-05
88,IBLT,200,200,10000,True,3016.0,16541.0,0.257013,28.4299,0.012585
89,IBLT,200,200,10000,True,16541.0,3016.0,0.355707,0.080278,3.8e-05
90,IBLT,200,200,10000,True,3016.0,16541.0,0.257313,0.159105,0.011699
91,IBLT,200,200,10000,True,16541.0,3016.0,0.341529,0.087444,3.2e-05
92,IBLT,200,200,10000,True,3016.0,16541.0,0.257084,27.8417,0.011767
93,IBLT,200,200,10000,True,16541.0,3016.0,0.34163,0.094915,3.4e-05
94,IBLT,200,200,10000,True,3016.0,16541.0,0.257215,0.17916,0.011845
95,IBLT,200,200,10000,True,16541.0,3016.0,0.341658,0.087134,5.3e-05
96,IBLT,200,200,10000,True,3016.0,16541.0,0.257035,0.201699,0.011755
97,IBLT,200,200,10000,True,16541.0,3016.0,0.341758,0.096428,3.1e-05
98,IBLT,200,200,10000,True,3016.0,16541.0,0.25702,0.142731,0.011833
99,IBLT,200,200,10000,True,16541.0,3016.0,0.341759,0.059989,3.4e-05
100,IBLT,80,80,10000,True,1217.0,6754.0,0.250589,0.169271,0.004725
101,IBLT,80,80,10000,True,6754.0,1217.0,0.450658,0.09605,1.6e-05
102,IBLT,80,80,10000,True,1217.0,6754.0,0.250601,28.8327,0.004865
103,IBLT,80,80,10000,True,6754.0,1217.0,0.409305,0.095787,1.7e-05
104,IBLT,80,80,10000,True,1217.0,6754.0,0.250665,0.174788,0.004756
105,IBLT,80,80,10000,True,6754.0,1217.0,0.338513,0.090697,1.5e-05
106,IBLT,80,80,10000,True,1217.0,6754.0,0.250528,28.4274,0.004839
107,IBLT,80,80,10000,True,6754.0,1217.0,0.33848,0.075264,1.6e-05
108,IBLT,80,80,10000,True,1217.0,6754.0,0.250546,28.3852,0.004762
109,IBLT,80,80,10000,True,6754.0,1217.0,0.338476,0.061674,1.5e-05
110,IBLT,80,80,10000,True,1217.0,6754.0,0.250703,0.12578,0.004771
111,IBLT,80,80,10000,True,6754.0,1217.0,0.338688,0.083393,1.5e-05
112,IBLT,80,80,10000,True,1217.0,6754.0,0.25067,0.128091,0.004742
113,IBLT,80,80,10000,True,6754.0,1217.0,0.338581,0.081779,1.5e-05
114,IBLT,80,80,10000,True,1217.0,6754.0,0.250634,0.108629,0.004767
115,IBLT,80,80,10000,True,6754.0,1217.0,0.338478,0.059551,1.4e-05
116,IBLT,80,80,10000,True,1217.0,6754.0,0.250788,28.4289,0.005693
117,IBLT,80,80,10000,True,6754.0,1217.0,0.338464,0.082087,1.6e-05
118,IBLT,80,80,10000,True,1217.0,6754.0,0.25096,0.15596,0.004738
119,IBLT,80,80,10000,True,6754.0,1217.0,0.338487,0.095228,1.5e-05
120,IBLT,900,900,10000,True,13480.0,73473.0,0.703947,30.0592,0.05506
121,IBLT,900,900,10000,True,73473.0,13480.0,0.922895,0.058282,0.000135
122,IBLT,900,900,10000,True,13480.0,73473.0,0.669013,28.8076,0.055782
123,IBLT,900,900,10000,True,73473.0,13480.0,0.834724,0.059649,0.000128
124,IBLT,900,900,10000,True,13480.0,73473.0,0.668957,0.150621,0.054083
125,IBLT,900,900,10000,True,73473.0,13480.0,0.836126,0.094026,0.000134
126,IBLT,900,900,10000,True,13480.0,73473.0,0.779049,27.9133,0.054215
127,IBLT,900,900,10000,True,73473.0,13480.0,0.955064,0.059886,0.000134
128,IBLT,900,900,10000,True,13480.0,73473.0,0.669103,0.106776,0.0543
129,IBLT,900,900,10000,True,73473.0,13480.0,0.834935,0.060742,0.00014
130,IBLT,900,900,10000,True,13480.0,73473.0,0.669146,0.159181,0.05408
131,IBLT,900,900,10000,True,73473.0,13480.0,0.835094,0.057664,0.000138
132,IBLT,900,900,10000,True,13480.0,73473.0,0.669008,27.9197,0.054576
133,IBLT,900,900,10000,True,73473.0,13480.0,0.841675,0.068922,0.000131
134,IBLT,900,900,10000,True,13480.0,73473.0,0.818231,27.9151,0.054095
135,IBLT,900,900,10000,True,73473.0,13480.0,0.994923,0.059154,0.000128
136,IBLT,900,900,10000,True,13480.0,73473.0,0.703848,0.149075,0.054033
137,IBLT,900,900,10000,True,73473.0,13480.0,0.876119,0.093434,0.000133
138,IBLT,900,900,10000,True,13480.0,73473.0,0.818289,0.197193,0.054087
139,IBLT,900,900,10000,True,73473.0,13480.0,0.995165,0.059003,0.000144
140,CPI,400,400,10000,True,3209.0,3262.0,0.443843,0.144868,1.47719
141,CPI,400,400,10000,True,3262.0,3209.0,0.384376,1.73461,0.001404
142,CPI,400,400,10000,True,3209.0,3262.0,0.443718,28.1226,1.47027
143,CPI,400,400,10000,True,3262.0,3209.0,0.384386,1.70526,0.001382
144,CPI,400,400,10000,True,3209.0,3262.0,0.443545,0.344987,1.47393
145,CPI,400,400,10000,True,3262.0,3209.0,0.38483,1.72362,0.001568
146,CPI,400,400,10000,True,3209.0,3262.0,0.443712,26.042,1.4733
147,CPI,400,400,10000,True,3262.0,3209.0,0.384149,1.72918,0.001438
148,CPI,400,400,10000,True,3209.0,3262.0,0.764418,26.0067,1.47005
149,CPI,400,400,10000,True,3262.0,3209.0,0.384286,2.041,0.001423
150,CPI,400,400,10000,True,3209.0,3262.0,0.443889,0.143688,1.47155
151,CPI,400,400,10000,True,3262.0,3209.0,0.384108,1.73006,0.001378
152,CPI,400,400,10000,True,3209.0,3262.0,0.443766,0.289044,1.47506
153,CPI,400,400,10000,True,3262.0,3209.0,0.384571,1.73015,0.001504
154,CPI,400,400,10000,True,3209.0,3262.0,0.443537,26.0392,1.47078
155,CPI,400,400,10000,True,3262.0,3209.0,0.384121,1.72178,0.001386
156,CPI,400,400,10000,True,3209.0,3262.0,0.443962,26.0344,1.49243
157,CPI,400,400,10000,True,3262.0,3209.0,0.384354,1.72997,0.001384
158,CPI,400,400,10000,True,3209.0,3262.0,0.44381,26.0414,1.4807
159,CPI,400,400,10000,True,3262.0,3209.0,0.384167,1.72578,0.001384
160,IBLT,70,70,10000,True,1065.0,5900.0,0.241335,0.206513,0.004105
161,IBLT,70,70,10000,True,5900.0,1065.0,0.450323,0.093208,1.7e-05
162,IBLT,70,70,10000,True,1065.0,5900.0,0.2415,0.170289,0.004038
163,IBLT,70,70,10000,True,5900.0,1065.0,0.450634,0.058461,1.4e-05
164,IBLT,70,70,10000,True,1065.0,5900.0,0.241116,0.164712,0.004041
165,IBLT,70,70,10000,True,5900.0,1065.0,0.33836,0.095395,1.4e-05
166,IBLT,70,70,10000,True,1065.0,5900.0,0.241497,0.107386,0.004058
167,IBLT,70,70,10000,True,5900.0,1065.0,0.338433,0.06148,1.3e-05
168,IBLT,70,70,10000,True,1065.0,5900.0,0.241223,27.4148,0.004054
169,IBLT,70,70,10000,True,5900.0,1065.0,0.338397,0.067527,1.5e-05
170,IBLT,70,70,10000,True,1065.0,5900.0,0.241473,0.100323,0.004065
171,IBLT,70,70,10000,True,5900.0,1065.0,0.338477,0.058865,1.3e-05
172,IBLT,70,70,10000,True,1065.0,5900.0,0.24126,28.392,0.004362
173,IBLT,70,70,10000,True,5900.0,1065.0,0.338301,0.060984,1.4e-05
174,IBLT,70,70,10000,True,1065.0,5900.0,0.241237,0.109398,0.004065
175,IBLT,70,70,10000,True,5900.0,1065.0,0.338764,0.060509,1.8e-05
176,IBLT,70,70,10000,True,1065.0,5900.0,0.241075,0.161928,0.00404
177,IBLT,70,70,10000,True,5900.0,1065.0,0.338262,0.088643,1.4e-05
178,IBLT,70,70,10000,True,1065.0,5900.0,0.241195,28.4082,0.00434
179,IBLT,70,70,10000,True,5900.0,1065.0,0.338417,0.074412,1.5e-05
180,IBLT,400,400,10000,True,6002.0,32824.0,0.419481,30.1124,0.024277
181,IBLT,400,400,10000,True,32824.0,6002.0,0.60118,0.072986,5.9e-05
182,IBLT,400,400,10000,True,6002.0,32824.0,0.420217,28.8056,0.026191
183,IBLT,400,400,10000,True,32824.0,6002.0,0.544648,0.083646,6.1e-05
184,IBLT,400,400,10000,True,6002.0,32824.0,0.419461,0.106642,0.024294
185,IBLT,400,400,10000,True,32824.0,6002.0,0.539764,0.058223,5.6e-05
186,IBLT,400,400,10000,True,6002.0,32824.0,0.4197,28.1772,0.024432
187,IBLT,400,400,10000,True,32824.0,6002.0,0.544234,0.057752,5.7e-05
188,IBLT,400,400,10000,True,6002.0,32824.0,0.419343,28.2121,0.024245
189,IBLT,400,400,10000,True,32824.0,6002.0,0.544714,0.073299,5.9e-05
190,IBLT,400,400,10000,True,6002.0,32824.0,0.419568,28.1996,0.024379
191,IBLT,400,400,10000,True,32824.0,6002.0,0.544653,0.05929,5.9e-05
192,IBLT,400,400,10000,True,6002.0,32824.0,0.41989,28.1982,0.026076
193,IBLT,400,400,10000,True,32824.0,6002.0,0.544612,0.069433,5.9e-05
194,IBLT,400,400,10000,True,6002.0,32824.0,0.419709,27.1952,0.026679
195,IBLT,400,400,10000,True,32824.0,6002.0,0.544934,0.067814,7.2e-05
196,IBLT,400,400,10000,True,6002.0,32824.0,0.419879,0.137283,0.024347
197,IBLT,400,400,10000,True,32824.0,6002.0,0.544651,0.091775,5.9e-05
198,IBLT,400,400,10000,True,6002.0,32824.0,0.419566,27.7214,0.024298
199,IBLT,400,400,10000,True,32824.0,6002.0,0.544447,0.064736,6.4e-05
200,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415856,0.12894,0.034678
201,Cuckoo,100,100,10000,True,29476.0,29460.0,0.572135,0.06975,0.038176
202,Cuckoo,100,100,10000,True,15086.0,29476.0,0.416016,0.118825,0.03463
203,Cuckoo,100,100,10000,True,29476.0,29460.0,0.502603,0.059165,0.035749
204,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415061,0.149574,0.035461
205,Cuckoo,100,100,10000,True,29476.0,29460.0,0.502877,0.094914,0.035438
206,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415728,0.139401,0.034807
207,Cuckoo,100,100,10000,True,29476.0,29460.0,0.502591,0.095719,0.035636
208,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415672,28.6122,0.035074
209,Cuckoo,100,100,10000,True,29476.0,29460.0,0.503078,0.082455,0.035141
210,Cuckoo,100,100,10000,True,15086.0,29476.0,0.414996,0.151723,0.035332
211,Cuckoo,100,100,10000,True,29476.0,29460.0,0.500501,0.092325,0.037807
212,Cuckoo,100,100,10000,True,15101.0,29476.0,0.415987,0.11627,0.03454
213,Cuckoo,100,100,10000,True,29476.0,29475.0,0.502736,0.067903,0.03549
214,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415255,0.109842,0.035143
215,Cuckoo,100,100,10000,True,29476.0,29460.0,0.503436,0.062371,0.034789
216,Cuckoo,100,100,10000,True,15086.0,29476.0,0.416402,0.142934,0.034546
217,Cuckoo,100,100,10000,True,29476.0,29460.0,0.502796,0.090354,0.035689
218,Cuckoo,100,100,10000,True,15086.0,29476.0,0.415801,28.6355,0.03484
219,Cuckoo,100,100,10000,True,29476.0,29460.0,0.503143,0.079043,0.03507
220,Cuckoo,40,40,10000,True,14712.0,29086.0,0.405041,30.113,0.035098
221,Cuckoo,40,40,10000,True,29086.0,29086.0,0.563328,0.074711,0.035612
222,Cuckoo,40,40,10000,True,14712.0,29086.0,0.364924,0.125388,0.035392
223,Cuckoo,40,40,10000,True,29086.0,29086.0,0.448073,0.080183,0.03484
224,Cuckoo,40,40,10000,True,14712.0,29086.0,0.405207,0.136091,0.035259
225,Cuckoo,40,40,10000,True,29086.0,29086.0,0.487446,0.081928,0.035658
226,Cuckoo,40,40,10000,True,14712.0,29086.0,0.364171,0.138902,0.036265
227,Cuckoo,40,40,10000,True,29086.0,29086.0,0.447583,0.08898,0.035489
228,Cuckoo,40,40,10000,True,14712.0,29086.0,0.444244,28.7381,0.035832
