,algorithm,server,client,cardinality,success,bytes transmitted,bytes received,communication time(s),idle time(s),computation time(s)
0,CPI,0,0,10000,True,13.0,62.0,0.479827,0.0,0.000139
1,CPI,0,0,10000,True,62.0,13.0,0.359864,1.59349,3.4e-05
2,CPI,0,0,10000,True,13.0,62.0,0.480009,0.0,7.6e-05
3,CPI,0,0,10000,True,62.0,13.0,0.359917,0.257995,3.4e-05
4,CPI,0,0,10000,True,13.0,62.0,0.480212,0.0,5.6e-05
5,CPI,0,0,10000,True,62.0,13.0,0.359894,0.281317,3.1e-05
6,CPI,0,0,10000,True,13.0,62.0,0.479917,0.0,5.5e-05
7,CPI,0,0,10000,True,62.0,13.0,0.359814,0.26112,3.5e-05
8,CPI,0,0,10000,True,13.0,62.0,0.480174,0.0,5.1e-05
9,CPI,0,0,10000,True,62.0,13.0,0.360002,0.279953,3.5e-05
10,CPI,0,0,10000,True,13.0,62.0,0.480079,0.0,5.6e-05
11,CPI,0,0,10000,True,62.0,13.0,0.359774,0.280984,3.3e-05
12,CPI,0,0,10000,True,13.0,62.0,0.480003,0.0,5.2e-05
13,CPI,0,0,10000,True,62.0,13.0,0.359926,0.27663,3e-05
14,CPI,0,0,10000,True,13.0,62.0,0.47987,0.0,6.1e-05
15,CPI,0,0,10000,True,62.0,13.0,0.35998,0.266478,3.6e-05
16,CPI,0,0,10000,True,13.0,62.0,0.479927,0.0,5.8e-05
17,CPI,0,0,10000,True,62.0,13.0,0.359952,0.29558,3.4e-05
18,CPI,0,0,10000,True,13.0,62.0,0.479956,0.0,5.5e-05
19,CPI,0,0,10000,True,62.0,13.0,0.359978,0.287509,3.2e-05
20,IBLT,60,60,10000,True,917.0,5025.0,0.251746,0.0,0.004114
21,IBLT,60,60,10000,True,5025.0,917.0,0.450525,0.085753,1.6e-05
22,IBLT,60,60,10000,True,917.0,5025.0,0.252526,0.0,0.003838
23,IBLT,60,60,10000,True,5025.0,917.0,0.33841,0.069582,1.5e-05
24,IBLT,60,60,10000,True,917.0,5025.0,0.251874,0.0,0.003883
25,IBLT,60,60,10000,True,5025.0,917.0,0.338113,0.064877,1.6e-05
26,IBLT,60,60,10000,True,917.0,5025.0,0.252368,0.0,0.003871
27,IBLT,60,60,10000,True,5025.0,917.0,0.338351,0.086878,1.5e-05
28,IBLT,60,60,10000,True,917.0,5025.0,0.251844,0.0,0.003915
29,IBLT,60,60,10000,True,5025.0,917.0,0.337865,0.071278,1.5e-05
