,cardinality,bytes transmitted,bytes received
0,97,855,2094
1,359,1255,2094
2,35,435,2094
3,301,1359,2094
4,160,1243,2094
5,156,199,2094
6,251,475,2094
7,353,887,2094
8,228,891,2094
9,400,1815,2094
10,148,491,2093
11,134,595,2094
12,476,1863,2094
13,398,1731,2094
14,203,623,2094
15,247,711,2094
16,323,907,2094
17,254,895,2094
18,366,1419,2094
19,336,1303,2094
20,133,763,2094
21,257,811,2094
22,400,1667,2094
23,199,1351,2094
24,370,1739,2094
25,68,1055,2094
26,336,939,2094
27,461,1663,2094
28,238,1331,2094
29,225,907,2094
30,83,351,2094
31,68,819,2094
32,332,1307,2094
33,301,667,2094
34,94,243,2094
35,222,1291,2094
36,167,1307,2094
37,434,1579,2094
38,203,955,2094
39,90,1307,2094
40,291,1351,2094
41,268,95,2094
42,323,1091,2094
43,319,419,2094
44,114,1251,2094
45,233,1343,2094
46,445,1271,2094
47,191,1103,2094
48,222,507,2094
49,196,1727,2094
50,306,1819,2094
51,330,1043,2094
52,151,811,2094
53,421,1315,2094
54,375,1543,2094
55,230,1183,2094
56,165,907,2094
57,93,795,2094
58,430,1711,2094
59,434,1287,2094
60,305,1079,2094
61,142,1391,2094
62,240,1459,2094
63,293,1719,2094
64,143,947,2094
65,412,683,2094
66,245,819,2094
67,210,495,2094
68,302,1639,2094
69,287,271,2094
70,307,1071,2094
71,266,587,2094
72,310,1159,2094
73,379,1471,2094
74,320,1231,2094
75,115,631,2094
76,339,1319,2094
77,275,575,2094
78,281,1175,2094
79,416,1639,2094
80,368,1259,2094
81,418,1275,2094
82,380,1499,2094
83,287,1059,2094
84,197,903,2094
85,189,687,2094
86,76,603,2094
87,141,1111,2094
88,123,455,2094
89,294,1999,2094
90,158,983,2094
91,468,1879,2094
92,245,91,2094
93,134,1031,2094
94,396,1239,2094
95,168,547,2094
96,81,423,2094
97,341,1235,2094
98,430,1287,2094
99,333,1239,2094
